piece	TimeSig	KeySig	last_mc	last_mn	length_qb	last_mc_unfolded	last_mn_unfolded	length_qb_unfolded	all_notes_qb	n_onsets	n_onset_positions	guitar_chord_count	form_label_count	label_count	composer	workTitle	movementNumber	movementTitle	workNumber	poet	lyricist	arranger	copyright	creationDate	platform	source	translator	title_text	subtitle_text	lyricist_text	composer_text	musescore	ms3_version	subdirectory	rel_path	has_drumset	ambitus	originalFormat	staff_1_instrument	staff_1_ambitus	staff_2_instrument	staff_2_ambitus
121_Chorale_16_Bass_1	1: 4/4	1: -2	17	17	68.0	26	26	104.0	136.0	63	34	0	0	0	J. Ch. Kittel	Kittel - 24 Chorales With Multiple Basslines Worksheets		Chorale 16, Bass 1						2025-01-31	Linux					"<font size=""15""/><b>Chorale 16, Bass 1</b>"		3.6.2	2.5.3	MultibassChorales/MS3	MultibassChorales/MS3/121_Chorale_16_Bass_1.mscx	False	46-77 (Bb2-F5)	mxl	Piano	67-77 (G4-F5)	Piano	46-58 (Bb2-Bb3)
122_Chorale_16_Bass_2	1: 4/4	1: -2	17	17	68.0	26	26	104.0	136.0	60	31	0	0	0	J. Ch. Kittel	Kittel - 24 Chorales With Multiple Basslines Worksheets		Chorale 16, Bass 2						2025-01-31	Linux							3.6.2	2.5.3	MultibassChorales/MS3	MultibassChorales/MS3/122_Chorale_16_Bass_2.mscx	False	39-77 (Eb2-F5)	mxl	Piano	67-77 (G4-F5)	Piano	39-58 (Eb2-Bb3)
123_Chorale_16_Bass_3	1: 4/4	1: -2	17	17	68.0	26	26	104.0	136.0	60	31	0	0	0	J. Ch. Kittel	Kittel - 24 Chorales With Multiple Basslines Worksheets		Chorale 16, Bass 3						2025-01-31	Linux					"<font size=""15""/><b>Chorale 16, Bass 3</b>"		3.6.2	2.5.3	MultibassChorales/MS3	MultibassChorales/MS3/123_Chorale_16_Bass_3.mscx	False	43-77 (G2-F5)	mxl	Piano	67-77 (G4-F5)	Piano	43-58 (G2-Bb3)
124_Chorale_16_Bass_4	1: 4/4	1: -2	17	17	68.0	26	26	104.0	136.0	59	31	0	0	0	J. Ch. Kittel	Kittel - 24 Chorales With Multiple Basslines Worksheets		Chorale 16, Bass 4						2025-01-31	Linux							3.6.2	2.5.3	MultibassChorales/MS3	MultibassChorales/MS3/124_Chorale_16_Bass_4.mscx	False	41-77 (F2-F5)	mxl	Piano	67-77 (G4-F5)	Piano	41-58 (F2-Bb3)
125_Chorale_16_Bass_5	1: 4/4	1: -2	17	17	68.0	26	26	104.0	136.0	63	34	0	0	0	J. Ch. Kittel	Kittel - 24 Chorales With Multiple Basslines Worksheets		Chorale 16, Bass 5						2025-01-31	Linux					"<font size=""15""/><b>Chorale 16, Bass 5</b>"		3.6.2	2.5.3	MultibassChorales/MS3	MultibassChorales/MS3/125_Chorale_16_Bass_5.mscx	False	41-77 (F2-F5)	mxl	Piano	67-77 (G4-F5)	Piano	41-58 (F2-Bb3)
126_Chorale_16_Bass_6	1: 4/4	1: -2	17	17	68.0	26	26	104.0	136.0	56	31	0	0	0	J. Ch. Kittel	Kittel - 24 Chorales With Multiple Basslines Worksheets		Chorale 16, Bass 6						2025-01-31	Linux							3.6.2	2.5.3	MultibassChorales/MS3	MultibassChorales/MS3/126_Chorale_16_Bass_6.mscx	False	45-77 (A2-F5)	mxl	Piano	67-77 (G4-F5)	Piano	45-58 (A2-Bb3)
127_Chorale_16_Bass_7	1: 4/4	1: -2	17	17	68.0	26	26	104.0	136.0	58	33	0	0	0	J. Ch. Kittel	Kittel - 24 Chorales With Multiple Basslines Worksheets		Chorale 16, Bass 7						2025-01-31	Linux					"<font size=""15""/><b>Chorale 16, Bass 7</b>"		3.6.2	2.5.3	MultibassChorales/MS3	MultibassChorales/MS3/127_Chorale_16_Bass_7.mscx	False	41-77 (F2-F5)	mxl	Piano	67-77 (G4-F5)	Piano	41-58 (F2-Bb3)
128_Chorale_16_Bass_8	1: 4/4	1: -2	18	18	72.0	27	27	108.0	144.0	67	41	0	0	0	J. Ch. Kittel	Kittel - 24 Chorales With Multiple Basslines Worksheets		Chorale 16, Bass 8						2025-01-31	Linux							3.6.2	2.5.3	MultibassChorales/MS3	MultibassChorales/MS3/128_Chorale_16_Bass_8.mscx	False	41-77 (F2-F5)	mxl	Piano	67-77 (G4-F5)	Piano	41-60 (F2-C4)
129_Chorale_17_Bass_1	1: 4/4	1: 0	20	20	80.0	30	30	120.0	144.0	70	36	0	0	0	J. Ch. Kittel	Kittel - 24 Chorales With Multiple Basslines Worksheets		Chorale 17, Bass 1						2025-01-31	Linux					"<font size=""15""/><b>Chorale 17, Bass 1</b>"		3.6.2	2.5.3	MultibassChorales/MS3	MultibassChorales/MS3/129_Chorale_17_Bass_1.mscx	False	40-76 (E2-E5)	mxl	Piano	64-76 (E4-E5)	Piano	40-60 (E2-C4)
12_Chorale_2_Bass_4	1: 4/4	1: 1	27	27	108.0	38	38	152.0	196.0	91	51	0	0	0	J. Ch. Kittel	Kittel - 24 Chorales With Multiple Basslines Worksheets		Chorale 2, Bass 4						2025-01-31	Linux					"<font size=""15""/><b>Chorale 2, Bass 4</b>"		3.6.2	2.5.3	MultibassChorales/MS3	MultibassChorales/MS3/12_Chorale_2_Bass_4.mscx	False	38-74 (D2-D5)	mxl	Piano	64-74 (E4-D5)	Piano	38-55 (D2-G3)
