mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
20	20	76	76	4.0	0	0	4/4	1	1	1		1	1		6	66	F#4	4	74
20	20	78	78	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1		5	47	B2	2	76
21	21	80	80	4.0	0	0	4/4	2	1	1		1	1		4	40	E2	2	78
21	21	80	80	4.0	0	0	4/4	1	1	1		1	1		8	68	G#4	4	77
22	22	86	86	1.0	1/2	1/2	4/4	2	1	1/4		1/4	1		4	52	E3	3	80
22	22	86	86	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		4	64	E4	4	79
22	22	87	87	1.0	3/4	3/4	4/4	2	1	1/4		1/4	1		2	50	D3	3	81
23	23	88	88	1.0	0	0	4/4	2	1	1/4		1/4	1		7	49	C#3	3	84
23	23	88	88	2.0	0	0	4/4	1	1	1/2		1/2	1		3	69	A4	4	82
23	23	89	89	0.5	1/4	1/4	4/4	2	1	1/8		1/8	1		2	50	D3	3	85
23	23	179/2	179/2	0.5	3/8	3/8	4/4	2	1	1/8		1/8	1		7	49	C#3	3	86
23	23	90	90	1.0	1/2	1/2	4/4	2	1	1/4		1/4	1		5	47	B2	2	87
23	23	90	90	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		5	71	B4	4	83
23	23	91	91	0.5	3/4	3/4	4/4	2	1	1/8		1/8	1		7	49	C#3	3	88
23	23	183/2	183/2	0.5	7/8	7/8	4/4	2	1	1/8		1/8	1		5	47	B2	2	89
24	24	92	92	2.0	0	0	4/4	2	1	1/2		1/2	1	1	3	45	A2	2	93
24	24	92	92	2.0	0	0	4/4	1	1	1/2		1/2	1		7	73	C#5	5	90
24	24	94	94	0.0	1/2	1/2	4/4	1	1	0	grace4	1/4	1		2	74	D5	5	91
24	24	94	94	1.0	1/2	1/2	4/4	2	1	1/4		1/4	1	-1	3	45	A2	2	94
24	24	94	94	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		4	76	E5	5	92
24	24	95	95	0.5	3/4	3/4	4/4	2	1	1/8		1/8	1		5	47	B2	2	95
24	24	191/2	191/2	0.5	7/8	7/8	4/4	2	1	1/8		1/8	1		7	49	C#3	3	96
25	25	96	96	2.0	0	0	4/4	2	1	1/2		1/2	1		2	50	D3	3	99
25	25	96	96	2.0	0	0	4/4	1	1	1/2		1/2	1		2	74	D5	5	97
25	25	98	98	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1		3	45	A2	2	100
25	25	98	98	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		7	73	C#5	5	98
26	26	100	100	4.0	0	0	4/4	2	1	1		1	1		4	52	E3	3	102
26	26	100	100	4.0	0	0	4/4	1	1	1		1	1		5	71	B4	4	101
27	27	106	106	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1		3	45	A2	2	104
27	27	106	106	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		7	73	C#5	5	103
28	28	108	108	0.0	0	0	4/4	1	1	0	grace4	1/4	1		5	71	B4	4	105
28	28	108	108	1.0	0	0	4/4	2	1	1/4		1/4	1		3	57	A3	3	108
28	28	108	108	2.0	0	0	4/4	1	1	1/2		1/2	1		3	69	A4	4	106
28	28	109	109	1.0	1/4	1/4	4/4	2	1	1/4		1/4	1		8	56	G#3	3	109
28	28	110	110	1.0	1/2	1/2	4/4	2	1	1/4		1/4	1		3	57	A3	3	110
28	28	110	110	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		3	69	A4	4	107
28	28	111	111	1.0	3/4	3/4	4/4	2	1	1/4		1/4	1		1	55	G3	3	111
29	29	112	112	1.0	0	0	4/4	2	1	1/4		1/4	1		6	54	F#3	3	114
29	29	112	112	2.0	0	0	4/4	1	1	1/2		1/2	1		2	74	D5	5	112
