mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	staff_text	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	slur
10	10	38	38	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	30						
10	10	38	38	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	31						1
10	10	39	39	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	32	d					
11	11	40	40	0.0	0	0	FiguredBass	4/4	1	1	0							1/2	6		
11	11	40	40	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	33						
11	11	42	42	0.0	1/2	1/2	FiguredBass	4/4	1	1	0							1/2	4	2	
11	11	42	42	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	34						
11	11	40	40	4.0	0	0	Chord	4/4	2	1	1		1	1	35						
12	12	44	44	0.0	0	0	FiguredBass	4/4	1	1	0							1/2	6		
12	12	44	44	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	36						
12	12	46	46	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	37						
12	12	44	44	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	38						
12	12	46	46	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	39						
13	13	48	48	0.0	0	0	FiguredBass	4/4	1	1	0							1	4		
13	13	48	48	0.0	0	0	Chord	4/4	1	1	0	grace4	1/4	1	40						
13	13	48	48	4.0	0	0	Chord	4/4	1	1	1		1	1	41						
13	13	48	48	0.0	0	0	FiguredBass	4/4	2	1	0							1	#		
13	13	48	48	4.0	0	0	Chord	4/4	2	1	1		1	1	42						
13	13	52	52	0.0	1	1	FiguredBass	4/4	2	1	0							1	#		
14	14	52	52	4.0	0	0	Chord	4/4	1	1	1		1	1	43						
14	14	52	52	4.0	0	0	Chord	4/4	2	1	1		1	1	44						
15	15	58	58	0.0	1/2	1/2	FiguredBass	4/4	1	1	0							1/2	6__	4__	
15	15	58	58	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	45						
15	15	56	56	0.0	0	0	FiguredBass	4/4	2	1	0							1/2	_	_	
15	15	58	58	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	46						2
15	15	59	59	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	47						
16	16	60	60	0.0	0	0	FiguredBass	4/4	1	1	0							1/2	5__	7__	
16	16	60	60	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	48						
16	16	62	62	0.0	1/2	1/2	FiguredBass	4/4	1	1	0							1/2	_	_	
16	16	62	62	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	49						
16	16	64	64	0.0	1	1	FiguredBass	4/4	1	1	0							1/2	6__	4__	
16	16	60	60	0.0	0	0	FiguredBass	4/4	2	1	0							1/4	_	_	
16	16	60	60	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	50						3
16	16	61	61	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	51						
16	16	62	62	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	52						4
16	16	63	63	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	53						
17	17	64	64	0.0	0	0	FiguredBass	4/4	1	1	0							1/2	4__	5	
17	17	64	64	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	54						
17	17	66	66	0.0	1/2	1/2	FiguredBass	4/4	1	1	0							1/2		6__	
17	17	66	66	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	55						
17	17	68	68	0.0	1	1	FiguredBass	4/4	1	1	0							1/2		6__	
17	17	70	70	0.0	3/2	3/2	FiguredBass	4/4	1	1	0							1/2	_	_	
17	17	72	72	0.0	2	2	FiguredBass	4/4	1	1	0							1/2	3	7	
17	17	64	64	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	56						
17	17	66	66	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	57						
18	18	68	68	4.0	0	0	Chord	4/4	1	1	1		1	1	58						
18	18	68	68	4.0	0	0	Chord	4/4	2	1	1		1	1	59						
