mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3
17	17	64	64	0.0	0	0	FiguredBass	4/4	1	1	0					1	h		
17	17	64	64	4.0	0	0	Chord	4/4	1	1	1		1	1	56				
17	17	64	64	4.0	0	0	Chord	4/4	2	1	1		1	1	57				
18	18	68	68	0.0	0	0	FiguredBass	4/4	1	1	0					1/2	5		
18	18	68	68	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	58				
18	18	70	70	0.0	1/2	1/2	FiguredBass	4/4	1	1	0						6		
18	18	70	70	0.0	1/2	1/2	FiguredBass	4/4	1	1	0						6		
18	18	70	70	0.0	1/2	1/2	FiguredBass	4/4	1	1	0					1/2	6	5h	
18	18	70	70	0.0	1/2	1/2	Chord	4/4	1	1	0	grace4	1/4	1	59				
18	18	70	70	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	60				
18	18	68	68	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	61				
18	18	70	70	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	62				
19	19	72	72	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	63				
19	19	74	74	0.0	1/2	1/2	FiguredBass	4/4	1	1	0					1/2	6	#__	
19	19	74	74	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	64				
19	19	72	72	0.0	0	0	FiguredBass	4/4	2	1	0					1/2	5__		
19	19	72	72	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	65				
19	19	74	74	0.0	1/2	1/2	FiguredBass	4/4	2	1	0					1/2	5__		
19	19	74	74	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	66				
19	19	76	76	0.0	1	1	FiguredBass	4/4	2	1	0					1/2	_	_	
20	20	76	76	0.0	0	0	FiguredBass	4/4	1	1	0					1/2	3	5	
20	20	76	76	0.0	0	0	Chord	4/4	1	1	0	grace4	1/4	1	67				
20	20	76	76	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	68				
20	20	78	78	0.0	1/2	1/2	FiguredBass	4/4	1	1	0					1/2	4	2	
20	20	78	78	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	69				
20	20	76	76	4.0	0	0	Chord	4/4	2	1	1		1	1	70				
21	21	80	80	0.0	0	0	FiguredBass	4/4	1	1	0					1	5	2	
21	21	80	80	4.0	0	0	Chord	4/4	1	1	1		1	1	71				
21	21	80	80	0.0	0	0	FiguredBass	4/4	2	1	0					1/2	5		
21	21	80	80	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	72				
21	21	82	82	0.0	1/2	1/2	FiguredBass	4/4	2	1	0					1/2	5		
21	21	82	82	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	73				
21	21	84	84	0.0	1	1	FiguredBass	4/4	2	1	0					1/2	6		
22	22	84	84	0.0	0	0	FiguredBass	4/4	1	1	0					1	9		
22	22	84	84	0.0	0	0	Chord	4/4	1	1	0	grace4	1/4	1	74				
22	22	84	84	4.0	0	0	Chord	4/4	1	1	1		1	1	75				
22	22	84	84	0.0	0	0	FiguredBass	4/4	2	1	0					1	8		
22	22	84	84	4.0	0	0	Chord	4/4	2	1	1		1	1	76				
22	22	88	88	0.0	1	1	FiguredBass	4/4	2	1	0					1	8		
23	23	88	88	0.0	0	0	FiguredBass	4/4	1	1	0					1/2	4	3h	
23	23	88	88	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	77				
23	23	90	90	0.0	1/2	1/2	FiguredBass	4/4	1	1	0					1/2	b7	5h	
23	23	90	90	0.0	1/2	1/2	Chord	4/4	1	1	0	grace4	1/4	1	78				
23	23	90	90	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	79				
23	23	88	88	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	80				
23	23	90	90	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	81				
24	24	92	92	0.0	0	0	FiguredBass	4/4	1	1	0					1/2	h4		
24	24	92	92	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	82				
24	24	94	94	0.0	1/2	1/2	FiguredBass	4/4	1	1	0					1/2	3		
24	24	94	94	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	83				
24	24	96	96	0.0	1	1	FiguredBass	4/4	1	1	0					1/2	3		
24	24	92	92	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	84				
24	24	94	94	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	85				
25	25	96	96	0.0	0	0	FiguredBass	4/4	1	1	0					1/2	h7	#	
25	25	96	96	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	86				
25	25	98	98	0.0	1/2	1/2	FiguredBass	4/4	1	1	0					1/2	9		
25	25	98	98	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	87				
25	25	96	96	0.0	0	0	FiguredBass	4/4	2	1	0					1/2	8		
25	25	96	96	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	88				
25	25	98	98	0.0	1/2	1/2	FiguredBass	4/4	2	1	0					1/2	8		
25	25	98	98	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	89				
26	26	100	100	0.0	0	0	FiguredBass	4/4	1	1	0					1	6		
26	26	100	100	4.0	0	0	Chord	4/4	1	1	1		1	1	90				
26	26	100	100	0.0	0	0	FiguredBass	4/4	2	1	0					1/2	5		
26	26	100	100	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	91				
26	26	102	102	0.0	1/2	1/2	FiguredBass	4/4	2	1	0					1/2	5		
26	26	102	102	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	92				
26	26	104	104	0.0	1	1	FiguredBass	4/4	2	1	0					1/2	7		
26	26	106	106	0.0	3/2	3/2	FiguredBass	4/4	2	1	0					1/2	#3	8	
27	27	104	104	0.0	0	0	FiguredBass	4/4	1	1	0					1	8	3	
27	27	104	104	4.0	0	0	Chord	4/4	1	1	1		1	1	93				
27	27	104	104	4.0	0	0	Chord	4/4	2	1	1		1	1	94				
